training_code,trainer_username,participant_username,participant_hackerRankScore,participant_performance,participant_assessmentScore,participant_communication,Max_Marks[10]
DE-088,Amber Powers,John Smith,7,7,9,2,6.25
DE-088,Amber Powers,Jon Swanson,7,5,5,5,5.5
DE-087,Sarah Jackson,Michelle Garcia,5,2,10,10,6.75
DE-087,Sarah Jackson,Scott Davis,10,9,4,3,6.5
DE-087,Sarah Jackson,Miss Heidi Bennett,7,4,6,6,5.75
DE-087,Sarah Jackson,Richard Cooper,3,10,3,0,4.0
DE-087,Sarah Jackson,Jacqueline Moore,0,2,1,8,2.75
DE-078,Jennifer Ramos,Kim Bates,9,9,7,10,8.75
DE-078,Jennifer Ramos,Jonathan Cardenas,4,8,10,10,8.0
DE-078,Jennifer Ramos,James Solis,10,8,2,9,7.25
DE-078,Jennifer Ramos,Robert Smith,9,7,2,8,6.5
DE-078,Jennifer Ramos,Shannon Taylor DDS,9,3,7,5,6.0
DE-054,Jason Collins,Mr. Jacob Moran MD,7,6,5,9,6.75
DE-054,Jason Collins,Megan Smith,7,2,8,8,6.25
DE-054,Jason Collins,Christopher Johnson,4,9,7,5,6.25
DE-054,Jason Collins,Cheryl Howard,1,10,8,5,6.0
DE-054,Jason Collins,Anthony Bonilla,0,8,7,8,5.75
DE-046,Dana Hunter,Cynthia Johnson,10,3,9,6,7.0
DE-046,Dana Hunter,Danielle Pittman,4,10,10,4,7.0
DE-046,Dana Hunter,Isaac James,7,7,6,7,6.75
DE-046,Dana Hunter,Pamela Pena,5,7,5,8,6.25
DE-046,Dana Hunter,Anthony Lee,3,9,7,5,6.0
DE-042,Kimberly Jones,Kelly Cox,6,10,8,5,7.25
DE-042,Kimberly Jones,Aaron Moore,8,6,6,6,6.5
DE-042,Kimberly Jones,Susan Cruz,7,2,7,9,6.25
DE-042,Kimberly Jones,Mr. Frank Thompson,8,9,8,0,6.25
DE-042,Kimberly Jones,Megan Smith,5,5,9,4,5.75
DE-034,Annette Bailey,Bobby King,8,5,10,6,7.25
DE-034,Annette Bailey,Aaron Knight,3,6,9,9,6.75
DE-034,Annette Bailey,Philip Lyons,5,9,8,4,6.5
DE-034,Annette Bailey,Jacqueline Morris,9,7,6,3,6.25
DE-034,Annette Bailey,Robert Dunn,2,7,4,10,5.75
DE-031,Samuel Curtis,Gregory Ferguson,9,4,10,6,7.25
DE-031,Samuel Curtis,Heather Harmon,7,3,10,9,7.25
DE-031,Samuel Curtis,Megan Smith,9,9,4,6,7.0
DE-031,Samuel Curtis,Linda Graves,6,8,7,7,7.0
DE-031,Samuel Curtis,Joshua Mcintosh,7,6,8,7,7.0
DE-028,Jason Mccarty,Amber Wolfe,9,8,9,8,8.5
DE-028,Jason Mccarty,Robert Dunn,7,9,6,9,7.75
DE-028,Jason Mccarty,Danielle Woods,9,3,10,8,7.5
DE-028,Jason Mccarty,David Sanders,6,4,10,7,6.75
DE-028,Jason Mccarty,Cynthia Sims,8,3,8,5,6.0
DE-025,Gregory Johnson,Andrew Pugh,5,10,8,9,8.0
DE-025,Gregory Johnson,Kristina Moyer,8,9,8,4,7.25
DE-025,Gregory Johnson,Zachary Wiggins,6,9,8,3,6.5
DE-025,Gregory Johnson,Christopher Clark,5,6,5,9,6.25
DE-025,Gregory Johnson,Kristin Griffin,9,7,1,7,6.0
DE-024,Troy Wagner,Jeffrey Ryan,8,7,7,5,6.75
DE-024,Troy Wagner,Amy Miller,10,6,7,4,6.75
DE-024,Troy Wagner,Megan Wright,2,8,8,9,6.75
DE-024,Troy Wagner,Hailey Leblanc,7,1,10,7,6.25
DE-024,Troy Wagner,Elizabeth Schultz,0,8,6,9,5.75
DE-022,Amber Powers,Andrew Porter,9,6,9,4,7.0
DE-022,Amber Powers,John Wilson,1,7,9,10,6.75
DE-022,Amber Powers,Andrew Gilbert IV,8,7,8,4,6.75
DE-022,Amber Powers,Miguel Kent,3,10,4,7,6.0
DE-022,Amber Powers,Diane Harris,1,7,9,7,6.0
DE-014,Crystal Cantrell,Christopher Evans,4,6,10,5,6.25
DE-014,Crystal Cantrell,Amber Brown,7,8,7,3,6.25
DE-014,Crystal Cantrell,Richard Mcdonald,7,4,6,7,6.0
DE-014,Crystal Cantrell,Eric Anderson,0,10,5,8,5.75
DE-014,Crystal Cantrell,Matthew Cervantes,8,9,3,3,5.75
DE-010,Rhonda Foster,Omar Norman,9,10,3,7,7.25
DE-010,Rhonda Foster,Grace Randall,5,5,8,10,7.0
DE-010,Rhonda Foster,Bryan Henderson,5,9,9,4,6.75
DE-010,Rhonda Foster,Megan Henry,7,7,4,9,6.75
DE-010,Rhonda Foster,Cathy Weber,5,8,5,8,6.5
DE-009,Mary Love,Gina Hunt,8,10,9,6,8.25
DE-009,Mary Love,Sharon Vargas,8,9,10,1,7.0
DE-009,Mary Love,Kevin Davidson,5,10,3,8,6.5
DE-009,Mary Love,Sherri Sherman,4,4,10,8,6.5
DE-009,Mary Love,Leslie Garcia,7,1,10,5,5.75
DE-008,Karen Galvan,Leah Moran,8,3,8,8,6.75
DE-008,Karen Galvan,Elizabeth Schultz,7,7,3,8,6.25
DE-008,Karen Galvan,Seth Hurley,9,1,8,6,6.0
DE-008,Karen Galvan,Melissa York,1,10,8,5,6.0
DE-008,Karen Galvan,Amber Garcia,10,2,2,8,5.5
